	GCF_000267545.1_ASM26754v1_genomic.fna	GCF_001648195.1_ASM164819v1_genomic.fna	GCF_000590475.1_ASM59047v1_genomic.fna	GCF_000195105.1_ASM19510v1_genomic.fna	GCF_000818015.1_ASM81801v1_genomic.fna	GCF_000661915.1_ASM66191v1_genomic.fna	GCF_001038645.1_ASM103864v1_genomic.fna	GCF_000327065.1_ASM32706v1_genomic.fna	GCF_000279165.1_ASM27916v1_genomic.fna	GCF_000013785.1_ASM1378v1_genomic.fna	GCF_000016565.1_ASM1656v1_genomic.fna	GCF_000219605.1_ASM21960v1_genomic.fna	SAMD00059319_PSCT_BDJA01_FF.fna
PSCT_02324	0.67	0.45	0.47	0.61	0.44	0.70	0.62	0.97	0.42	0.62	0.47	0.61	1.00
PSCT_02325	0.97	0.78	0.80	0.93	0.75	0.97	0.93	1.00	0.74	0.93	0.66	0.93	1.00
PSCT_02326	0.95	0.85	0.85	0.95	0.84	0.97	0.95	1.00	0.83	0.95	0.75	0.95	1.00
PSCT_02327	0.94	0.81	0.80	0.93	0.76	0.95	0.93	1.00	0.80	0.93	0.49	0.92	1.00
PSCT_02328	0.87	0.67	0.66	0.89	0.66	0.93	0.89	0.99	0.75	0.89	0.44	0.89	1.00
PSCT_02329	0.89	0.68	0.72	0.85	0.77	0.93	0.85	0.98	0.77	0.86	0.61	0.84	1.00
PSCT_02330	0.97	0.89	0.90	0.96	0.92	0.97	0.95	1.00	0.92	0.96	0.87	0.95	1.00
PSCT_02331	0.99	0.95	0.94	0.98	0.94	1.00	0.98	1.00	0.93	0.98	0.91	0.98	1.00
PSCT_02332	0.97	0.84	0.84	0.97	0.84	0.97	0.97	1.00	0.88	0.97	0.81	0.97	1.00
PSCT_02333	0.97	0.96	0.97	0.97	0.98	0.98	0.96	0.99	0.97	0.96	0.94	0.97	1.00
PSCT_02334	0.00	0.00	0.17	0.00	0.19	0.00	0.00	0.96	0.23	0.19	0.00	0.00	1.00
PSCT_02335	0.95	0.80	0.78	0.10	0.16	0.94	0.00	0.99	0.19	0.00	0.55	0.00	1.00
PSCT_02336	0.84	0.17	0.15	0.78	0.56	0.82	0.78	0.99	0.65	0.78	0.16	0.79	1.00
PSCT_02337	0.93	0.82	0.79	0.94	0.00	0.97	0.94	1.00	0.85	0.94	0.43	0.94	1.00
PSCT_02338	0.88	0.41	0.40	0.81	0.74	0.87	0.81	0.98	0.65	0.81	0.38	0.81	1.00
PSCT_02339	0.94	0.73	0.74	0.93	0.73	0.96	0.93	1.00	0.72	0.93	0.61	0.93	1.00
PSCT_02340	0.84	0.68	0.67	0.82	0.38	0.85	0.82	0.95	0.64	0.82	0.60	0.81	1.00
PSCT_02341	0.10	0.00	0.10	0.80	0.10	0.00	0.81	0.89	0.10	0.14	0.10	0.14	1.00
PSCT_02342	0.98	0.88	0.86	0.96	0.91	0.97	0.96	1.00	0.86	0.96	0.76	0.96	1.00
PSCT_02343	0.96	0.85	0.84	0.95	0.81	0.98	0.95	1.00	0.84	0.95	0.76	0.95	1.00
PSCT_02344	0.98	0.89	0.83	1.00	0.89	0.98	1.00	1.00	0.89	1.00	0.50	1.00	1.00
PSCT_02345	0.99	0.91	0.90	0.98	0.92	0.99	0.97	0.99	0.91	0.98	0.89	0.97	1.00
PSCT_02346	0.98	0.90	0.93	0.97	0.91	0.99	0.97	1.00	0.92	0.97	0.87	0.97	1.00
PSCT_02347	0.97	0.82	0.83	0.95	0.85	0.97	0.95	1.00	0.81	0.95	0.80	0.95	1.00
PSCT_02348	0.96	0.85	0.84	0.93	0.82	0.95	0.93	0.99	0.85	0.93	0.77	0.93	1.00
PSCT_02349	0.95	0.73	0.66	0.92	0.73	0.95	0.92	0.99	0.69	0.92	0.65	0.92	1.00
PSCT_02350	1.00	0.82	0.81	0.94	0.89	0.96	0.94	0.96	0.85	0.94	0.77	0.94	1.00
PSCT_02351	0.99	0.91	0.92	0.96	0.88	0.98	0.96	0.98	0.90	0.96	0.84	0.96	1.00
PSCT_02352	0.98	0.95	0.95	0.99	0.94	0.99	0.99	1.00	0.20	0.99	0.89	0.99	1.00
PSCT_02353	0.99	0.94	0.94	0.99	0.94	0.99	0.99	0.99	0.86	0.99	0.19	0.99	1.00
PSCT_02354	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
PSCT_02355	0.97	0.86	0.90	0.97	0.88	0.97	0.97	0.97	0.86	0.97	0.73	0.97	1.00
PSCT_02356	0.96	0.24	0.90	0.96	0.90	0.96	0.96	0.98	0.91	0.96	0.84	0.96	1.00
PSCT_02357	0.98	0.85	0.83	0.96	0.87	0.99	0.96	1.00	0.73	0.96	0.34	0.97	1.00
PSCT_02358	0.90	0.69	0.68	0.86	0.71	0.92	0.86	1.00	0.27	0.86	0.66	0.85	1.00
PSCT_02359	0.99	0.88	0.88	0.98	0.98	0.99	0.98	1.00	0.88	0.98	0.95	0.98	1.00
PSCT_02360	0.97	0.84	0.86	0.96	0.95	0.98	0.96	1.00	0.86	0.96	0.08	0.96	1.00
PSCT_02361	0.98	0.83	0.84	0.96	0.96	0.98	0.96	1.00	0.87	0.96	0.54	0.96	1.00
PSCT_02362	0.99	0.95	0.94	0.97	0.98	0.99	0.98	1.00	0.97	0.97	0.63	0.98	1.00
PSCT_02363	0.98	0.93	0.93	0.97	0.97	0.99	0.98	0.99	0.93	0.98	0.77	0.97	1.00
PSCT_02364	0.91	0.41	0.37	0.69	0.41	0.77	0.65	0.92	0.45	0.63	0.08	0.65	1.00
PSCT_02365	0.99	0.80	0.81	0.94	0.80	0.99	0.94	1.00	0.78	0.94	0.76	0.94	1.00
PSCT_02366	0.93	0.91	0.95	0.92	0.36	0.93	0.92	1.00	0.82	0.92	0.34	0.92	1.00
PSCT_02367	0.98	0.93	0.93	0.94	0.32	0.99	0.93	1.00	0.79	0.94	0.33	0.93	1.00
PSCT_02368	0.83	0.67	0.66	0.89	0.64	0.95	0.87	1.00	0.00	0.89	0.00	0.89	1.00
PSCT_02369	0.97	0.89	0.90	0.94	0.86	0.98	0.94	1.00	0.89	0.94	0.76	0.94	1.00
PSCT_02370	0.91	0.72	0.74	0.91	0.70	0.93	0.92	0.91	0.77	0.91	0.00	0.91	1.00
PSCT_02371	0.97	0.77	0.81	0.98	0.85	0.97	0.98	0.99	0.93	0.98	0.68	0.98	0.99
PSCT_02372	0.96	0.96	0.95	0.97	0.94	0.97	0.97	0.99	0.92	0.97	0.84	0.97	0.99
PSCT_02373	0.97	0.59	0.59	0.94	0.84	0.97	0.94	1.00	0.83	0.94	0.63	0.94	1.00
PSCT_02374	0.97	0.89	0.89	0.97	0.93	0.98	0.97	1.00	0.89	0.97	0.86	0.97	1.00
PSCT_02375	1.00	0.96	0.96	1.00	0.98	1.00	1.00	1.00	0.95	1.00	0.91	0.99	1.00
PSCT_02376	0.94	0.77	0.79	0.96	0.81	0.95	0.96	1.00	0.78	0.95	0.72	0.95	1.00
PSCT_02377	0.90	0.68	0.67	0.92	0.73	0.97	0.49	1.00	0.67	0.92	0.30	0.92	1.00
PSCT_02378	0.90	0.70	0.70	0.88	0.72	0.94	0.88	1.00	0.71	0.88	0.57	0.88	1.00
PSCT_02379	0.92	0.81	0.82	0.90	0.81	0.97	0.90	0.96	0.00	0.90	0.70	0.90	1.00
PSCT_02380	0.91	0.76	0.77	0.92	0.75	0.98	0.92	1.00	0.75	0.92	0.63	0.92	1.00
PSCT_02381	0.91	0.80	0.80	0.86	0.74	0.91	0.87	1.00	0.18	0.87	0.19	0.87	1.00
PSCT_02382	0.95	0.77	0.77	0.92	0.22	0.94	0.93	0.97	0.20	0.91	0.22	0.92	1.00
PSCT_02383	0.87	0.71	0.73	0.84	0.70	0.88	0.83	0.99	0.69	0.84	0.05	0.83	1.00
PSCT_02384	0.99	0.61	0.95	0.97	0.96	0.99	0.98	0.99	0.95	0.98	0.90	0.98	1.00
PSCT_02385	0.99	0.94	0.92	0.97	0.95	0.99	0.97	1.00	0.93	0.97	0.86	0.97	1.00
PSCT_02386	1.00	0.91	0.89	0.97	0.89	0.99	0.97	0.99	0.90	0.97	0.90	0.97	1.00
PSCT_02387	0.92	0.76	0.75	0.92	0.77	0.94	0.92	0.99	0.73	0.92	0.68	0.92	1.00
PSCT_02388	0.99	0.95	0.94	0.99	0.97	0.99	0.99	1.00	0.94	0.99	0.92	0.99	1.00
PSCT_02389	0.98	0.04	0.04	0.99	0.89	1.00	0.99	1.00	0.04	0.99	0.05	0.99	1.00
PSCT_02390	0.89	0.64	0.66	0.89	0.64	0.94	0.89	0.97	0.59	0.90	0.64	0.89	1.00
PSCT_02391	0.96	0.89	0.90	0.97	0.89	0.97	0.96	0.99	0.89	0.96	0.88	0.97	1.00
PSCT_02392	1.00	0.93	0.93	0.99	0.95	0.99	0.99	1.00	0.95	0.99	0.88	0.99	1.00
PSCT_02393	0.99	0.92	0.92	0.98	0.92	0.98	0.97	0.99	0.89	0.98	0.65	0.98	1.00
PSCT_02394	0.99	0.93	0.94	0.97	0.91	1.00	0.97	1.00	0.91	0.97	0.93	0.97	1.00
PSCT_02395	0.97	0.86	0.85	0.94	0.85	1.00	0.94	1.00	0.85	0.93	0.85	0.94	1.00
PSCT_02396	0.98	0.89	0.89	0.95	0.88	0.99	0.95	1.00	0.88	0.95	0.82	0.94	1.00
PSCT_02397	0.98	0.97	0.94	0.98	0.94	1.00	0.98	1.00	0.95	0.98	0.87	0.98	1.00
PSCT_02398	0.99	0.94	0.94	0.99	0.95	1.00	0.99	1.00	0.95	0.99	0.91	0.99	1.00
PSCT_02399	0.98	0.90	0.92	0.97	0.91	0.99	0.97	0.98	0.95	0.97	0.87	0.97	1.00
PSCT_02400	0.88	0.45	0.42	0.80	0.29	0.86	0.80	0.99	0.82	0.79	0.16	0.80	1.00
PSCT_02401	0.87	0.49	0.48	0.79	0.32	0.87	0.78	0.99	0.86	0.79	0.13	0.79	1.00
PSCT_02402	0.91	0.80	0.80	0.86	0.76	0.91	0.87	0.99	0.79	0.86	0.23	0.86	1.00
PSCT_02403	0.99	0.22	0.22	0.94	0.23	1.00	0.94	1.00	0.23	0.71	0.21	0.94	1.00
PSCT_02404	0.96	0.04	0.00	0.87	0.00	0.99	0.86	0.99	0.04	0.88	0.04	0.87	1.00
PSCT_02405	0.93	0.83	0.85	0.95	0.83	1.00	0.95	1.00	0.79	0.95	0.00	0.95	1.00
PSCT_02406	0.93	0.83	0.63	0.93	0.76	1.00	0.93	1.00	0.82	0.93	0.08	0.93	1.00
PSCT_02407	0.98	0.93	0.92	0.98	0.88	0.99	0.96	1.00	0.94	0.96	0.19	0.98	1.00
PSCT_02408	0.89	0.67	0.68	0.91	0.89	0.92	0.90	0.95	0.84	0.88	0.69	0.91	1.00
PSCT_02409	0.98	0.73	0.74	0.98	0.97	0.98	0.97	0.99	0.90	0.98	0.79	0.98	1.00
PSCT_02410	0.97	0.88	0.85	0.98	0.98	0.97	0.97	0.98	0.90	0.98	0.83	0.98	1.00
PSCT_02411	0.98	0.96	0.96	0.99	0.98	0.99	0.99	1.00	0.96	0.99	0.96	0.99	1.00
PSCT_02412	0.97	0.84	0.84	0.98	0.96	0.99	0.97	0.99	0.92	0.97	0.75	0.97	1.00
PSCT_02413	0.96	0.90	0.90	0.98	0.96	0.97	0.98	0.98	0.92	0.98	0.87	0.98	1.00
PSCT_02414	1.00	0.97	0.98	1.00	0.97	1.00	1.00	1.00	0.98	1.00	0.94	1.00	1.00
PSCT_02415	0.93	0.80	0.81	0.94	0.78	0.94	0.93	0.98	0.77	0.94	0.73	0.94	1.00
PSCT_02416	0.96	0.91	0.93	0.95	0.89	0.96	0.97	0.98	0.94	0.97	0.88	0.97	1.00
PSCT_02417	0.98	0.93	0.92	0.99	0.95	0.99	0.99	1.00	0.95	0.98	0.89	0.98	1.00
PSCT_02418	0.97	0.87	0.86	0.98	0.96	0.99	0.98	1.00	0.87	0.98	0.82	0.98	1.00
PSCT_02419	0.98	0.94	0.93	0.98	0.99	1.00	0.98	1.00	0.90	0.98	0.81	0.98	1.00
PSCT_02420	1.00	0.92	0.92	0.99	0.98	1.00	0.99	1.00	0.89	0.99	0.83	0.99	1.00
PSCT_02421	0.95	0.86	0.85	0.95	0.91	0.99	0.94	0.98	0.85	0.94	0.75	0.95	1.00
PSCT_02422	0.99	0.96	0.96	0.99	0.98	1.00	1.00	1.00	0.94	1.00	0.91	0.99	1.00
PSCT_02423	0.99	0.89	0.88	0.98	0.94	0.97	0.98	1.00	0.88	0.98	0.88	0.98	1.00
PSCT_02424	0.92	0.69	0.68	0.94	0.71	0.88	0.83	0.97	0.72	0.94	0.58	0.84	1.00
PSCT_02425	0.98	0.88	0.87	0.97	0.78	0.98	0.97	1.00	0.88	1.00	0.85	0.98	1.00
PSCT_02426	1.00	0.93	0.94	1.00	0.96	1.00	1.00	1.00	0.94	1.00	0.94	1.00	1.00
PSCT_02427	0.96	0.78	0.80	0.94	0.82	0.97	0.75	1.00	0.77	0.99	0.76	0.96	1.00
PSCT_02428	0.94	0.87	0.88	0.95	0.89	0.96	0.95	1.00	0.89	0.99	0.80	0.95	1.00
PSCT_02429	0.95	0.00	0.00	0.92	0.42	0.00	0.92	1.00	0.00	1.00	0.80	0.91	1.00
PSCT_02430	0.97	0.89	0.89	0.98	0.91	0.98	0.98	1.00	0.90	0.98	0.85	0.98	1.00
PSCT_02431	0.97	0.86	0.84	0.91	0.84	0.97	0.91	1.00	0.83	0.91	0.81	0.91	1.00
PSCT_02432	0.89	0.59	0.10	0.83	0.58	0.89	0.83	0.99	0.69	0.83	0.37	0.83	1.00
PSCT_02433	0.98	0.50	0.91	0.98	0.92	0.99	0.99	1.00	0.97	0.99	0.06	0.98	1.00
PSCT_02434	0.92	0.53	0.82	0.94	0.85	0.93	0.95	0.98	0.84	0.95	0.30	0.95	1.00
PSCT_02435	0.96	0.63	0.85	0.96	0.92	0.98	0.98	1.00	0.90	0.96	0.39	0.96	1.00
PSCT_02436	1.00	0.71	0.93	1.00	0.97	1.00	1.00	1.00	0.97	1.00	0.25	1.00	1.00
PSCT_02437	0.98	0.53	0.88	0.99	0.90	0.98	0.99	1.00	0.93	0.99	0.18	0.98	1.00
PSCT_02438	0.98	0.89	0.88	0.96	0.82	0.99	0.96	1.00	0.88	0.96	0.84	0.99	1.00
PSCT_02439	0.99	0.96	0.95	0.99	0.94	0.99	0.99	1.00	0.95	0.99	0.95	0.98	1.00
PSCT_02440	0.98	0.91	0.92	1.00	0.91	1.00	1.00	1.00	0.95	1.00	0.84	0.99	1.00
PSCT_02441	0.98	0.81	0.83	0.96	0.85	0.98	0.96	1.00	0.84	0.96	0.79	0.96	1.00
PSCT_02442	0.83	0.68	0.67	0.80	0.64	0.85	0.81	0.82	0.68	0.80	0.61	0.81	1.00
PSCT_02443	0.98	0.93	0.93	0.98	0.94	0.99	0.98	1.00	0.92	0.98	0.85	0.98	1.00
PSCT_02444	0.99	0.96	0.95	0.99	0.95	1.00	0.99	1.00	0.92	0.99	0.96	0.99	1.00
PSCT_02445	0.96	0.86	0.88	0.93	0.88	0.96	0.93	0.99	0.87	0.93	0.74	0.93	1.00
PSCT_02446	0.95	0.68	0.63	0.90	0.76	0.98	0.91	0.99	0.66	0.92	0.57	0.91	1.00
PSCT_02447	0.99	0.93	0.93	0.99	0.95	0.99	0.99	1.00	0.92	0.98	0.93	0.99	1.00
PSCT_02448	1.00	0.91	0.91	0.97	0.91	1.00	0.97	1.00	0.91	0.97	0.82	0.97	1.00
PSCT_02449	0.88	0.46	0.00	0.93	0.82	0.94	0.93	1.00	0.83	0.93	0.00	0.91	1.00
PSCT_02450	0.84	0.71	0.72	0.90	0.38	0.93	0.90	0.99	0.56	0.90	0.59	0.89	1.00
PSCT_02451	0.88	0.77	0.75	0.94	0.82	0.94	0.94	0.97	0.82	0.93	0.54	0.94	1.00
PSCT_02452	0.99	0.95	0.93	0.98	0.92	0.98	0.98	0.99	0.93	0.97	0.83	0.97	1.00
PSCT_02453	0.99	0.97	0.91	0.98	0.91	1.00	0.98	1.00	0.90	0.98	0.89	0.98	1.00
PSCT_02454	1.00	0.97	0.90	0.99	0.98	1.00	0.99	1.00	0.96	0.98	0.95	0.99	1.00
PSCT_02455	0.76	0.35	0.29	0.70	0.17	0.67	0.70	1.00	0.34	0.70	0.16	0.70	1.00
PSCT_02456	0.57	0.20	0.25	0.71	0.21	0.79	0.70	1.00	0.28	0.71	0.18	0.71	1.00
PSCT_02457	0.86	0.13	0.13	0.89	0.15	0.95	0.89	1.00	0.14	0.89	0.13	0.89	1.00
PSCT_02458	0.94	0.80	0.81	0.89	0.75	0.94	0.89	0.99	0.03	0.89	0.03	0.88	1.00
PSCT_02459	0.95	0.80	0.81	0.93	0.73	0.98	0.93	1.00	0.78	0.93	0.14	0.93	1.00
PSCT_02460	0.71	0.47	0.45	0.70	0.37	0.79	0.69	0.95	0.00	0.70	0.11	0.70	1.00
PSCT_02461	0.85	0.33	0.35	0.70	0.23	0.84	0.70	0.99	0.00	0.70	0.00	0.71	1.00
PSCT_02462	0.81	0.36	0.38	0.65	0.45	0.75	0.66	0.93	0.00	0.66	0.11	0.66	1.00
PSCT_02463	0.93	0.86	0.00	0.98	0.00	1.00	0.98	1.00	0.85	0.98	0.56	0.98	1.00
PSCT_02464	0.98	0.88	0.42	0.99	0.44	0.99	0.99	1.00	0.90	0.99	0.81	0.99	1.00
PSCT_02465	0.91	0.75	0.17	0.95	0.18	0.94	0.95	0.96	0.76	0.95	0.66	0.95	1.00
PSCT_02466	0.30	0.66	0.66	0.30	0.29	0.30	0.31	0.30	0.30	0.65	0.39	0.30	1.00
PSCT_02467	0.82	0.82	0.54	0.98	0.48	0.97	0.97	0.97	0.81	0.98	0.80	0.98	1.00
PSCT_02468	0.84	0.70	0.71	0.85	0.54	0.91	0.70	0.91	0.09	0.84	0.10	0.84	1.00
PSCT_02469	0.96	0.87	0.86	0.98	0.92	0.98	0.98	0.98	0.19	0.98	0.20	0.98	1.00
PSCT_02470	0.97	0.82	0.81	0.95	0.83	0.98	0.94	0.99	0.16	0.95	0.19	0.95	1.00
PSCT_02471	0.89	0.78	0.77	0.95	0.78	0.98	0.95	0.99	0.18	0.94	0.19	0.95	1.00
PSCT_02472	0.76	0.71	0.51	0.89	0.77	0.97	0.88	0.99	0.07	0.89	0.12	0.89	1.00
PSCT_02473	0.92	0.79	0.79	0.88	0.74	0.97	0.89	0.98	0.27	0.94	0.30	0.88	1.00
PSCT_02474	0.87	0.78	0.78	0.91	0.69	0.94	0.58	0.98	0.19	0.89	0.26	0.91	1.00
PSCT_02475	0.88	0.62	0.61	0.86	0.56	0.96	0.87	0.98	0.14	0.86	0.16	0.87	1.00
PSCT_02476	0.03	0.03	0.04	0.99	0.91	0.99	0.98	1.00	0.13	0.98	0.03	0.98	1.00
PSCT_02477	0.00	0.00	0.16	0.99	0.85	0.99	0.99	0.96	0.00	0.97	0.00	0.99	0.99
PSCT_02478	0.06	0.07	0.07	0.90	0.77	0.91	0.91	0.97	0.06	0.91	0.07	0.89	1.00
PSCT_02479	0.00	0.00	0.00	0.00	0.00	0.99	0.82	0.99	0.11	0.81	0.00	0.00	1.00
PSCT_02480	0.83	0.08	0.08	0.87	0.79	0.94	0.87	0.97	0.08	0.87	0.07	0.87	1.00
PSCT_02481	0.83	0.41	0.39	0.88	0.77	0.89	0.88	0.97	0.42	0.88	0.09	0.88	1.00
PSCT_02482	0.80	0.74	0.72	0.81	0.15	0.86	0.81	0.98	0.15	0.80	0.17	0.80	1.00
PSCT_02483	0.85	0.75	0.75	0.82	0.16	0.91	0.83	0.99	0.15	0.83	0.16	0.82	1.00
PSCT_02484	0.87	0.00	0.00	0.90	0.80	0.97	0.89	1.00	0.00	0.90	0.11	0.89	1.00
PSCT_02485	0.13	0.12	0.09	0.08	0.72	0.83	0.09	0.97	0.09	0.09	0.11	0.09	1.00
PSCT_02486	0.05	0.05	0.05	0.00	0.71	0.86	0.00	0.98	0.00	0.00	0.05	0.00	1.00
PSCT_02487	0.27	0.34	0.34	0.26	0.32	0.94	0.27	0.99	0.15	0.27	0.34	0.27	1.00
PSCT_02488	0.00	0.00	0.00	0.00	0.00	0.98	0.00	0.97	0.00	0.00	0.00	0.00	1.00
PSCT_02489	0.93	0.00	0.07	0.94	0.07	1.00	0.53	1.00	0.07	0.94	0.75	0.94	1.00
PSCT_02490	0.94	0.26	0.70	0.74	0.28	0.97	0.72	0.96	0.28	0.74	0.31	0.72	1.00
PSCT_02491	0.96	0.13	0.90	0.96	0.12	0.96	0.96	0.99	0.13	0.97	0.13	0.95	1.00
PSCT_02492	0.98	0.69	0.70	0.98	0.00	0.99	0.98	0.99	0.68	0.98	0.60	0.98	1.00
PSCT_02493	0.99	0.86	0.87	0.97	0.36	0.99	0.97	0.99	0.36	0.97	0.36	0.96	1.00
PSCT_02494	0.97	0.76	0.54	0.93	0.15	0.98	0.93	0.99	0.14	0.93	0.14	0.59	1.00
PSCT_02495	0.97	0.57	0.58	0.92	0.00	1.00	0.92	1.00	0.00	0.92	0.00	0.92	1.00
PSCT_02496	0.92	0.12	0.12	0.90	0.10	0.97	0.89	0.97	0.09	0.89	0.73	0.89	1.00
PSCT_02497	0.33	0.33	0.33	0.33	0.34	0.33	0.33	0.97	0.32	0.33	0.32	0.33	1.00
PSCT_02498	0.00	0.04	0.00	0.04	0.00	0.00	0.04	0.99	0.15	0.04	0.48	0.04	1.00
PSCT_02499	0.91	0.93	0.85	0.91	0.00	0.92	0.90	0.98	0.00	0.91	0.00	0.90	1.00
PSCT_02500	0.92	0.14	0.88	0.92	0.15	0.98	0.92	0.98	0.13	0.92	0.14	0.92	1.00
PSCT_02501	0.92	0.08	0.85	0.88	0.07	0.98	0.88	0.96	0.08	0.88	0.07	0.88	1.00
PSCT_02502	0.97	0.04	0.94	0.96	0.05	1.00	0.96	1.00	0.04	0.96	0.04	0.96	1.00
PSCT_02503	0.94	0.85	0.28	0.93	0.26	0.99	0.93	0.99	0.27	0.93	0.59	0.93	1.00
PSCT_02504	0.99	0.82	0.82	0.97	0.93	0.99	0.97	1.00	0.96	0.97	0.97	0.97	1.00
PSCT_02505	0.99	0.96	0.95	0.97	0.91	0.99	0.97	0.99	0.93	0.96	0.85	0.96	1.00
PSCT_02506	0.99	0.99	0.99	1.00	0.84	0.99	1.00	1.00	0.99	1.00	0.97	1.00	1.00
PSCT_02507	0.85	0.60	0.69	0.92	0.68	0.95	0.93	1.00	0.66	0.93	0.57	0.93	1.00
PSCT_02508	0.80	0.59	0.60	0.87	0.55	0.79	0.87	0.98	0.52	0.87	0.46	0.86	1.00
PSCT_02509	0.99	0.97	0.95	1.00	0.95	1.00	1.00	1.00	0.91	1.00	0.87	1.00	1.00
PSCT_02510	1.00	0.92	0.93	0.99	0.91	1.00	0.99	1.00	0.86	0.99	0.90	0.99	1.00
PSCT_02511	0.87	0.53	0.61	0.80	0.51	0.97	0.80	0.98	0.64	0.79	0.40	0.80	1.00
PSCT_02512	0.98	0.81	0.83	0.98	0.79	0.98	0.98	0.99	0.80	0.98	0.77	0.98	1.00
PSCT_02513	0.97	0.07	0.07	0.95	0.08	0.98	0.95	0.99	0.85	0.95	0.73	0.95	1.00
PSCT_02514	1.00	0.94	0.95	1.00	0.95	0.99	1.00	1.00	0.96	1.00	0.87	1.00	1.00
PSCT_02515	0.99	0.93	0.93	0.98	0.96	0.99	0.98	1.00	0.94	0.98	0.91	0.98	1.00
PSCT_02516	0.98	0.84	0.84	0.94	0.87	0.98	0.96	1.00	0.83	0.94	0.78	0.94	1.00
PSCT_02517	0.95	0.00	0.80	0.93	0.84	0.95	0.93	0.99	0.00	0.93	0.60	0.93	1.00
PSCT_02518	0.99	0.95	0.96	0.98	0.97	1.00	0.98	1.00	0.96	0.98	0.88	0.98	1.00
PSCT_02519	0.97	0.77	0.78	0.92	0.80	0.95	0.93	0.99	0.82	0.93	0.62	0.93	1.00
PSCT_02520	0.98	0.92	0.93	0.96	0.92	0.98	0.95	1.00	0.92	0.96	0.76	0.96	1.00
PSCT_02521	0.94	0.89	0.92	0.95	0.91	0.97	0.95	1.00	0.95	0.95	0.87	0.95	1.00
PSCT_02522	0.99	0.93	0.94	0.99	0.95	0.99	0.99	1.00	0.92	0.99	0.96	0.99	1.00
PSCT_02523	0.97	0.92	0.94	0.99	0.89	1.00	0.99	1.00	0.93	0.99	0.81	0.99	1.00
PSCT_02524	0.72	0.66	0.65	0.69	0.66	0.88	0.68	1.00	0.62	0.68	0.53	0.68	1.00
PSCT_02525	0.95	0.92	0.92	0.96	0.89	0.99	0.96	1.00	0.90	0.96	0.83	0.96	1.00
PSCT_02526	0.91	0.85	0.84	0.89	0.83	0.97	0.88	1.00	0.86	0.88	0.79	0.89	1.00
PSCT_02527	0.91	0.79	0.78	0.89	0.78	0.96	0.90	1.00	0.78	0.89	0.42	0.89	1.00
PSCT_02528	0.94	0.86	0.88	0.94	0.87	0.97	0.94	1.00	0.86	0.94	0.79	0.94	1.00
PSCT_02529	0.96	0.90	0.90	0.96	0.91	0.96	0.96	1.00	0.89	0.96	0.87	0.96	1.00
PSCT_02530	0.87	0.71	0.63	0.88	0.53	0.86	0.88	0.99	0.62	0.88	0.59	0.88	1.00
PSCT_02531	0.91	0.71	0.71	0.90	0.68	0.92	0.91	0.99	0.71	0.91	0.60	0.91	1.00
PSCT_02532	0.94	0.81	0.77	0.93	0.77	0.94	0.93	1.00	0.79	0.95	0.68	0.95	1.00
PSCT_02533	0.91	0.74	0.71	0.90	0.71	0.91	0.90	1.00	0.73	0.90	0.61	0.90	1.00
PSCT_02534	0.98	0.92	0.92	0.94	0.94	0.98	0.94	1.00	0.92	0.94	0.87	0.94	1.00
PSCT_02535	0.97	0.85	0.84	0.96	0.86	0.97	0.96	1.00	0.84	0.96	0.70	0.96	1.00
PSCT_02536	0.92	0.82	0.84	0.94	0.78	0.91	0.94	0.99	0.80	0.93	0.67	0.93	1.00
PSCT_02537	0.98	0.90	0.92	0.99	0.89	0.98	0.99	1.00	0.91	0.99	0.10	0.99	1.00
PSCT_02538	0.89	0.81	0.82	0.85	0.82	0.91	0.86	1.00	0.77	0.86	0.71	0.86	1.00
PSCT_02539	0.98	0.90	0.90	0.98	0.90	0.98	0.98	0.99	0.91	0.98	0.86	0.98	1.00
PSCT_02540	0.92	0.85	0.84	0.90	0.86	0.94	0.90	0.99	0.85	0.89	0.76	0.89	1.00
PSCT_02541	0.70	0.44	0.48	0.67	0.55	0.73	0.67	0.77	0.13	0.67	0.13	0.62	1.00
PSCT_02542	0.90	0.53	0.54	0.89	0.66	0.92	0.89	1.00	0.34	0.89	0.09	0.84	1.00
PSCT_02543	0.86	0.55	0.56	0.85	0.70	0.91	0.85	1.00	0.70	0.85	0.58	0.80	1.00
PSCT_02544	0.91	0.83	0.79	0.91	0.83	0.96	0.92	1.00	0.82	0.92	0.62	0.91	1.00
PSCT_02545	0.93	0.83	0.82	0.95	0.86	0.93	0.97	1.00	0.81	0.96	0.78	0.97	1.00
PSCT_02546	0.97	0.96	0.97	0.96	0.85	0.96	0.96	1.00	0.92	0.96	0.81	0.96	1.00
PSCT_02547	0.97	0.97	0.96	0.97	0.88	0.97	0.97	1.00	0.94	0.97	0.85	0.97	1.00
PSCT_02548	0.95	0.97	0.95	0.94	0.79	0.97	0.95	1.00	0.92	0.94	0.76	0.94	1.00
PSCT_02549	0.96	0.85	0.82	0.92	0.75	0.97	0.93	1.00	0.85	0.92	0.75	0.90	1.00
PSCT_02550	0.99	0.78	0.79	0.91	0.70	0.97	0.91	1.00	0.78	0.91	0.00	0.91	1.00
